,Description,Disease
0,Fungal infection is a common skin condition caused by fungi.,Fungal infection
1,Allergy is an immune system reaction to a substance in the environment.,Allergy
2,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,GERD
3,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Chronic cholestasis
4,Drug Reaction occurs when the body reacts adversely to a medication.,Drug Reaction
5,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Peptic ulcer disease
6,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,AIDS
7,Diabetes is a chronic condition that affects how the body processes blood sugar.,Diabetes
8,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Gastroenteritis
9,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Bronchial Asthma
10,"Hypertension, or high blood pressure, is a common cardiovascular condition.",Hypertension
11,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,Migraine
12,Cervical spondylosis is a degenerative condition of the cervical spine.,Cervical spondylosis
13,Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,Paralysis (brain hemorrhage)
14,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.",Jaundice
15,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,Malaria
16,Chicken pox is a highly contagious viral infection causing an itchy rash.,Chicken pox
17,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,Dengue
18,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,Typhoid
19,hepatitis A is a viral liver disease.,hepatitis A
20,Hepatitis B is a viral infection that attacks the liver.,Hepatitis B
21,Hepatitis C is a viral infection that causes liver inflammation.,Hepatitis C
22,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,Hepatitis D
23,Hepatitis E is a viral infection that causes liver inflammation.,Hepatitis E
24,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,Alcoholic hepatitis
25,Tuberculosis is a bacterial infection that primarily affects the lungs.,Tuberculosis
26,Common Cold is a viral infection of the upper respiratory tract.,Common Cold
27,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,Pneumonia
28,Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,Dimorphic hemmorhoids(piles)
29,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,Heart attack
30,"Varicose veins are enlarged, twisted veins that usually appear on the legs.",Varicose veins
31,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,Hypothyroidism
32,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,Hyperthyroidism
33,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,Hypoglycemia
34,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,Osteoarthristis
35,"Arthritis is inflammation of one or more joints, causing pain and stiffness.",Arthritis
36,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,(vertigo) Paroymsal Positional Vertigo
37,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,Acne
38,Urinary tract infection is an infection in any part of the urinary system.,Urinary tract infection
39,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.",Psoriasis
40,Impetigo is a highly contagious skin infection causing red sores that can break open.,Impetigo
